geneid	koid
Cs3g26210	K12812
Cs3g26220	K03686
Cs3g26240	K12173
Cs3g26250	K04733
Cs3g26260	K09487
Cs3g26280	K11982
Cs3g26290	K13181
Cs3g26300	K04733
Cs3g26310	K10401
Cs3g26340	K00924
Cs3g26350	K04733
Cs3g26360	K00924
Cs3g26370	K03000
Cs3g26380	K05658
Cs3g26390	K04392
Cs3g26400	K18468
Cs3g26410	K04733
Cs3g26430	K05309
Cs3g26440	K19042
Cs3g26460	K14209
Cs3g26470	K10691
Cs3g26480	K10691
Cs3g26490	K03320
Cs3g26510	K03094
Cs3g26520	K15333
Cs3g26530	K00430
Cs3g26540	K14432
Cs3g26550	K18757
Cs3g26560	K03798
Cs3g26570	K00083
Cs3g26590	K14489
Cs3g26600	K00430
Cs3g26610	K20628
Cs3g26620	K14525
Cs3g26640	K17609
Cs3g26650	K13412
Cs3g26670	K17964
Cs3g26690	K03671
Cs3g26700	K08242
Cs3g26720	K01115
Cs3g26730	K02638
Cs3g26740	K17808
Cs3g26750	K17535
Cs3g26760	K00799
Cs3g26770	K13153
Cs3g26790	K18470
Cs3g26800	K00028
Cs3g26810	K06173
Cs3g26820	K01176
Cs3g26840	K20826
Cs3g26850	K01322
Cs3g26865	K07583
Cs3g26870	K07583
Cs3g26880	K19658
Cs3g26890	K09494
Cs3g26900	K19791
Cs3g26910	K14168
Cs3g26940	K00121
Cs3g26960	K12349
Cs3g26980	K11450
Cs3g26990	K14209
Cs3g27010	K10526
Cs3g27020	K06966
Cs3g27030	K03798
Cs3g27040	K14500
Cs3g27050	K03029
Cs3g27070	K07374
Cs3g27120	K00485
Cs3g27130	K13065
Cs3g27140	K14799
Cs3g27150	K17964
Cs3g27170	K00485
Cs3g27180	K00485
Cs3g27190	K00666
Cs3g27210	K00721
Cs3g27220	K00700
Cs3g27230	K11088
Cs3g27250	K21777
Cs3g27260	K21777
Cs3g27270	K08332
Cs3g27280	K03781
Cs3g27290	K03781
Cs3g27300	K00276
Cs3g27310	K12385
Cs3g27320	K04733
Cs3g27330	K04733
Cs3g27350	K22184
Cs3g27360	K17964
Cs3g27370	K17964
Cs3g27380	K11296
Cs3g27390	K18490
Cs3g27400	K15362
Cs3g27410	K17964
Cs3g27420	K12472
Cs3g27440	K12616
Cs3g27450	K08332
Cs3g27460	K13145
Cs3g27480	K14803
Cs3g27490	K05387
Cs3g27500	K19891
Cs3g27510	K08852
Cs3g27520	K05298
Cs3g27540	K08472
Cs3g27550	K20027
Cs3g27560	K08472
Cs3g27570	K01802
Cs3g27580	K12666
Cs3g27590	K22048
Cs3g27600	K08150
Cs3g27610	K08150
Cs3g27620	K06180
Cs3g27630	K05941
Cs3g27640	K04733
Cs3g27650	K08176
Cs3g27660	K08176
Cs3g27700	K07748
Cs3g27720	K11649
Cs3g27730	K11649
Cs3g27740	K12741
Cs3g27760	K00021
Cs3g27800	K12811
Cs3g27810	K07088
Cs3g27820	K07760
Cs3g27830	K13963
Cs3g27840	K00895
Cs3g27850	K21548
Cs3g27870	K19040
Cs3g27885	K03017
Cs3g27890	K17604
Cs4g01010	K17506
Cs4g01020	K13420
Cs4g01030	K14321
Cs4g01040	K08794
Cs4g01130	K04523
Cs4g01140	K14803
Cs4g01150	K13783
Cs4g01160	K12852
Cs4g01170	K16271
Cs4g01190	K11982
Cs4g01210	K04422
Cs4g01220	K15613
Cs4g01240	K03768
Cs4g01260	K10278
Cs4g01280	K17569
Cs4g01290	K00939
Cs4g01300	K08150
Cs4g01310	K02990
Cs4g01330	K00924
Cs4g01340	K11592
Cs4g01350	K02209
Cs4g01360	K08678
Cs4g01370	K01535
Cs4g01380	K02924
Cs4g01390	K17824
Cs4g01410	K04733
Cs4g01420	K04733
Cs4g01430	K01183
Cs4g01440	K18999
Cs4g01450	K07198
Cs4g01470	K18179
Cs4g01480	K09287
Cs4g01490	K00131
Cs4g01510	K12581
Cs4g01520	K20280
Cs4g01530	K14405
Cs4g01550	K05658
Cs4g01580	K01126
Cs4g01590	K08516
Cs4g01600	K03098
Cs4g01610	K01285
Cs4g01620	K16569
Cs4g01630	K21989
Cs4g01640	K14491
Cs4g01680	K01183
Cs4g01690	K11855
Cs4g01700	K03263
Cs4g01710	K02888
Cs4g01720	K01246
Cs4g01730	K06693
Cs4g01740	K01255
Cs4g01760	K17086
Cs4g01770	K05391
Cs4g01780	K00655
Cs4g01790	K00700
Cs4g01800	K03006
Cs4g01810	K01379
Cs4g01820	K13431
Cs4g01830	K14297
Cs4g01840	K20362
Cs4g01850	K16297
Cs4g01860	K16297
Cs4g01900	K10268
Cs4g01910	K13065
Cs4g01920	K13065
Cs4g01930	K13065
Cs4g01970	K03260
Cs4g01980	K02520
Cs4g01990	K10999
Cs4g02000	K10999
Cs4g02010	K08330
Cs4g02020	K16297
Cs4g02030	K10842
Cs4g02040	K03873
Cs4g02050	K06268
Cs4g02060	K06268
Cs4g02070	K13420
Cs4g02080	K10908
Cs4g02090	K17964
Cs4g02110	K02149
Cs4g02160	K02916
Cs4g02170	K14305
Cs4g02190	K03255
Cs4g02200	K03255
Cs4g02210	K09285
Cs4g02220	K11423
Cs4g02230	K22314
Cs4g02250	K02377
Cs4g02260	K01611
Cs4g02270	K04733
Cs4g02280	K00423
Cs4g02290	K15407
Cs4g02300	K00423
Cs4g02310	K00423
Cs4g02320	K17908
Cs4g02330	K01381
Cs4g02340	K18798
Cs4g02350	K20043
Cs4g02360	K13065
Cs4g02370	K12447
Cs4g02380	K13065
Cs4g02390	K13065
Cs4g02400	K13065
Cs4g02410	K09753
Cs4g02420	K01081
Cs4g02430	K03695
Cs4g02440	K07023
Cs4g02450	K08679
Cs4g02490	K03257
Cs4g02500	K20855
Cs4g02510	K17294
Cs4g02520	K17356
Cs4g02530	K17356
Cs4g02540	K15015
Cs4g02560	K17500
Cs4g02570	K17500
Cs4g02580	K15404
Cs4g02610	K05286
Cs4g02620	K19041
Cs4g02630	K19044
Cs4g02670	K20628
Cs4g02680	K20628
Cs4g02690	K20628
Cs4g02700	K20628
Cs4g02710	K19041
Cs4g02730	K16055
Cs4g02740	K05391
Cs4g02750	K10956
Cs4g02760	K03695
Cs4g02770	K00279
Cs4g02800	K05387
Cs4g02810	K05387
Cs4g02820	K07408
Cs4g02830	K05387
Cs4g02840	K05387
Cs4g02850	K05387
Cs4g02855	K11097
Cs4g02870	K13128
Cs4g02880	K04733
Cs4g02900	K04733
Cs4g02910	K12135
Cs4g02920	K01662
Cs4g02930	K07942
Cs4g02950	K01805
Cs4g02960	K01805
Cs4g02970	K20412
Cs4g02980	K20412
Cs4g02990	K12930
Cs4g02995	K07889
Cs4g03000	K09422
Cs4g03010	K04422
Cs4g03020	K00875
Cs4g03030	K19562
Cs4g03040	K21989
Cs4g03050	K14504
Cs4g03060	K14504
Cs4g03070	K08235
Cs4g03080	K14504
Cs4g03110	K14504
Cs4g03120	K08235
Cs4g03130	K14504
Cs4g03140	K14504
Cs4g03145	K14504
Cs4g03150	K14504
Cs4g03180	K14504
Cs4g03190	K08235
Cs4g03200	K14504
Cs4g03210	K14504
Cs4g03220	K14504
Cs4g03230	K14504
Cs4g03240	K14504
Cs4g03250	K05953
Cs4g03260	K01807
Cs4g03270	K05953
Cs4g03280	K05953
Cs4g03300	K05953
Cs4g03310	K12840
Cs4g03320	K00512
Cs4g03330	K01904
Cs4g03340	K15040
Cs4g03350	K00734
Cs4g03390	K08900
Cs4g03400	K19199
Cs4g03430	K12819
Cs4g03440	K10880
Cs4g03450	K11254
Cs4g03480	K17623
Cs4g03490	K14484
Cs4g03500	K11098
Cs4g03510	K00327
Cs4g03520	K06085
Cs4g03540	K10739
Cs4g03550	K09285
Cs4g03570	K15271
Cs4g03580	K01602
Cs4g03590	K12846
Cs4g03600	K04733
Cs4g03610	K14552
Cs4g03630	K04733
Cs4g03650	K12115
Cs4g03660	K17710
Cs4g03670	K09833
Cs4g03680	K10583
Cs4g03690	K04567
Cs4g03700	K01535
Cs4g03720	K22074
Cs4g03740	K00430
Cs4g03750	K01792
Cs4g03760	K05768
Cs4g03770	K13065
Cs4g03810	K06127
Cs4g03820	K19306
Cs4g03830	K17943
Cs4g03840	K17776
Cs4g03860	K04125
Cs4g03870	K01534
Cs4g03880	K19589
Cs4g03945	K17964
Cs4g03980	K17604
Cs4g04010	K22285
Cs4g04020	K03676
Cs4g04030	K15333
Cs4g04040	K01176
Cs4g04050	K18469
Cs4g04080	K20044
Cs4g04090	K02130
Cs4g04100	K12599
Cs4g04110	K13196
Cs4g04120	K03217
Cs4g04130	K15441
Cs4g04140	K18633
Cs4g04160	K21444
Cs4g04170	K07253
Cs4g04180	K03036
Cs4g04190	K10777
Cs4g04200	K13105
Cs4g04215	K05658
Cs4g04240	K03695
Cs4g04250	K19513
Cs4g04260	K13993
Cs4g04280	K02937
Cs4g04300	K01537
Cs4g04310	K00499
Cs4g04320	K15923
Cs4g04330	K04733
Cs4g04340	K13947
Cs4g04350	K15285
Cs4g04370	K09338
Cs4g04380	K16573
Cs4g04390	K21760
Cs4g04410	K19041
Cs4g04420	K02045
Cs4g04430	K01214
Cs4g04440	K18677
Cs4g04450	K03327
Cs4g04470	K22068
Cs4g04480	K14794
Cs4g04490	K15082
Cs4g04500	K09498
Cs4g04520	K14486
Cs4g04530	K00487
Cs4g04540	K01961
Cs4g04560	K17609
Cs4g04570	K17609
Cs4g04580	K04730
Cs4g04610	K06691
Cs4g04620	K14554
Cs4g04630	K01853
Cs4g04640	K00511
Cs4g04650	K00511
Cs4g04660	K01853
Cs4g04670	K00511
Cs4g04680	K01853
Cs4g04700	K03364
Cs4g04710	K00511
Cs4g04720	K12447
Cs4g04730	K01853
Cs4g04740	K01853
Cs4g04750	K04564
Cs4g04760	K04733
Cs4g04770	K09548
Cs4g04780	K13065
Cs4g04790	K20667
Cs4g04800	K03040
Cs4g04810	K17535
Cs4g04820	K00703
Cs4g04830	K20102
Cs4g04840	K20102
Cs4g04850	K02961
Cs4g04860	K08867
Cs4g04880	K15397
Cs4g04890	K19893
Cs4g04900	K01836
Cs4g04920	K08150
Cs4g04930	K06258
Cs4g05010	K10088
Cs4g05020	K20296
Cs4g05030	K17768
Cs4g05050	K20032
Cs4g05060	K03006
Cs4g05070	K03006
Cs4g05160	K07964
Cs4g05170	K08193
Cs4g05190	K05278
Cs4g05200	K15227
Cs4g05210	K01507
Cs4g05220	K17604
Cs4g05240	K17604
Cs4g05250	K03715
Cs4g05260	K05756
Cs4g05270	K11366
Cs4g05280	K15289
Cs4g05300	K21027
Cs4g05310	K19907
Cs4g05320	K19907
Cs4g05330	K06911
Cs4g05340	K05016
Cs4g05350	K04733
Cs4g05360	K01184
Cs4g05370	K12392
Cs4g05380	K00696
Cs4g05390	K07297
Cs4g05400	K18789
Cs4g05410	K18789
Cs4g05420	K20823
Cs4g05430	K20043
Cs4g05450	K05747
Cs4g05460	K08515
Cs4g05470	K11855
Cs4g05480	K12607
Cs4g05490	K06617
Cs4g05500	K21026
Cs4g05510	K13448
Cs4g05530	K04733
Cs4g05540	K15281
Cs4g05560	K06966
Cs4g05570	K01188
Cs4g05580	K03257
Cs4g05590	K03257
Cs4g05600	K00599
Cs4g05610	K05278
Cs4g05620	K20295
Cs4g05640	K04733
Cs4g05650	K12737
Cs4g05660	K04733
Cs4g05680	K08790
Cs4g05690	K14497
Cs4g05700	K08776
Cs4g05710	K17968
Cs4g05730	K00574
Cs4g05740	K13111
Cs4g05760	K13424
Cs4g05770	K13993
Cs4g05780	K13993
Cs4g05800	K13993
Cs4g05840	K13457
Cs4g05860	K15503
Cs4g05870	K03006
Cs4g05880	K13993
Cs4g05890	K15503
Cs4g05900	K15503
Cs4g05910	K15503
Cs4g05920	K15121
Cs4g05930	K00521
Cs4g05940	K17964
Cs4g05970	K13566
Cs4g05980	K09285
Cs4g05990	K17535
Cs4g06000	K15503
Cs4g06010	K22048
Cs4g06020	K22048
Cs4g06030	K22048
Cs4g06040	K22048
Cs4g06050	K02985
Cs4g06080	K10624
Cs4g06090	K09422
Cs4g06100	K01051
Cs4g06110	K12162
Cs4g06120	K07428
Cs4g06130	K09422
Cs4g06140	K09264
Cs4g06150	K00279
Cs4g06160	K10268
Cs4g06180	K15082
Cs4g06200	K15082
Cs4g06210	K01533
Cs4g06220	K01533
Cs4g06230	K20718
Cs4g06240	K04454
Cs4g06245	K10357
Cs4g06250	K10357
Cs4g06270	K01179
Cs4g06280	K14818
Cs4g06300	K19729
Cs4g06320	K04733
Cs4g06330	K14686
Cs4g06350	K08740
Cs4g06360	K06180
Cs4g06370	K11592
Cs4g06390	K17609
Cs4g06400	K15340
Cs4g06410	K09286
Cs4g06420	K02885
Cs4g06430	K15397
Cs4g06440	K00485
Cs4g06460	K21776
Cs4g06470	K21776
Cs4g06490	K16274
Cs4g06520	K13464
Cs4g06540	K16281
Cs4g06550	K09527
Cs4g06560	K13462
Cs4g06580	K00423
Cs4g06585	K11108
Cs4g06590	K00423
Cs4g06600	K19893
Cs4g06620	K14157
Cs4g06630	K01051
Cs4g06640	K01051
Cs4g06650	K01051
Cs4g06670	K01051
Cs4g06680	K01051
Cs4g06690	K01051
Cs4g06700	K01051
Cs4g06710	K01051
Cs4g06720	K04482
Cs4g06730	K20290
Cs4g06740	K00921
Cs4g06770	K11975
Cs4g06780	K11975
Cs4g06790	K20523
Cs4g06800	K13109
Cs4g06810	K14209
Cs4g06820	K12127
Cs4g06830	K15028
Cs4g06840	K11498
Cs4g06850	K00695
Cs4g06860	K19373
Cs4g06870	K12185
Cs4g06880	K07052
Cs4g06890	K01051
Cs4g06900	K00695
Cs4g06910	K14488
Cs4g06915	K22071
Cs4g06920	K13447
Cs4g06940	K03564
Cs4g06950	K00485
Cs4g06980	K01051
Cs4g06990	K14806
Cs4g07000	K09458
Cs4g07020	K14486
Cs4g07030	K04078
Cs4g07040	K09286
Cs4g07060	K09286
Cs4g07070	K12309
Cs4g07080	K12309
Cs4g07090	K12309
Cs4g07110	K13201
Cs4g07120	K02995
Cs4g07130	K13464
Cs4g07140	K20798
Cs4g07150	K08908
Cs4g07160	K04733
Cs4g07170	K18587
Cs4g07180	K09705
Cs4g07190	K09705
Cs4g07220	K00789
Cs4g07240	K08963
Cs4g07250	K02980
Cs4g07260	K21407
Cs4g07270	K21407
Cs4g07280	K21407
Cs4g07290	K21407
Cs4g07300	K21407
Cs4g07340	K15333
Cs4g07350	K15333
Cs4g07360	K03868
Cs4g07370	K16040
Cs4g07380	K20623
Cs4g07390	K03283
Cs4g07400	K04733
Cs4g07410	K01366
Cs4g07420	K17964
Cs4g07440	K16609
Cs4g07480	K20793
Cs4g07490	K17505
Cs4g07500	K14494
Cs4g07510	K13342
Cs4g07520	K12179
Cs4g07530	K10268
Cs4g07550	K13415
Cs4g07560	K18835
Cs4g07620	K10374
Cs4g07650	K08905
Cs4g07660	K03130
Cs4g07670	K16616
Cs4g07680	K04733
Cs4g07690	K04733
Cs4g07700	K02433
Cs4g07710	K06689
Cs4g07720	K13448
Cs4g07730	K15078
Cs4g07740	K14945
Cs4g07750	K12880
Cs4g07760	K06699
Cs4g07770	K06699
Cs4g07780	K09422
Cs4g07790	K14209
Cs4g07800	K14209
Cs4g07810	K14209
Cs4g07820	K07300
Cs4g07830	K02259
Cs4g07840	K06617
Cs4g07850	K12616
Cs4g07860	K01956
Cs4g07870	K03141
Cs4g07890	K11885
Cs4g07900	K13199
Cs4g07910	K13199
Cs4g07920	K13199
Cs4g07930	K13199
Cs4g07940	K10523
Cs4g07950	K00815
Cs4g07960	K01188
Cs4g07970	K19307
Cs4g07980	K13457
Cs4g08000	K19307
Cs4g08010	K13457
Cs4g08020	K13457
Cs4g08030	K13457
Cs4g08040	K19307
Cs4g08050	K13457
Cs4g08060	K19307
Cs4g08070	K13457
Cs4g08080	K13457
Cs4g08090	K19307
Cs4g08100	K13457
Cs4g08110	K13457
Cs4g08130	K22066
Cs4g08140	K15078
Cs4g08150	K01623
Cs4g08160	K00876
Cs4g08170	K10406
Cs4g08190	K17422
Cs4g08220	K04079
Cs4g08230	K06268
Cs4g08260	K00787
Cs4g08270	K19040
Cs4g08280	K12863
Cs4g08300	K05681
Cs4g08320	K15285
Cs4g08330	K00876
Cs4g08340	K12741
Cs4g08400	K14835
Cs4g08410	K03027
Cs4g08420	K08286
Cs4g08450	K18693
Cs4g08470	K20222
Cs4g08480	K20222
Cs4g08490	K13264
Cs4g08500	K03024
Cs4g08510	K13264
Cs4g08520	K20222
Cs4g08530	K19891
Cs4g08540	K20222
Cs4g08550	K19891
Cs4g08560	K10999
Cs4g08565	K20347
Cs4g08570	K13456
Cs4g08600	K10592
Cs4g08610	K10592
Cs4g08620	K03500
Cs4g08630	K01148
Cs4g08670	K02729
Cs4g08700	K04733
Cs4g08720	K08065
Cs4g08730	K11416
Cs4g08750	K19519
Cs4g08760	K15078
Cs4g08770	K01728
Cs4g08780	K08065
Cs4g08790	K17046
Cs4g08800	K01738
Cs4g08810	K01738
Cs4g08830	K01303
Cs4g08860	K05389
Cs4g08870	K05389
Cs4g08880	K05389
Cs4g08890	K10878
Cs4g08920	K17496
Cs4g08930	K14709
Cs4g08940	K18753
Cs4g08960	K01051
Cs4g08980	K02946
Cs4g08990	K00640
Cs4g09010	K00512
Cs4g09020	K00512
Cs4g09030	K07418
Cs4g09040	K00512
Cs4g09050	K07418
Cs4g09070	K15503
Cs4g09080	K00512
Cs4g09090	K00512
Cs4g09100	K07418
Cs4g09110	K00512
Cs4g09120	K05666
Cs4g09130	K05666
Cs4g09140	K05666
Cs4g09150	K05666
Cs4g09180	K08332
Cs4g09190	K14007
Cs4g09230	K14806
Cs4g09240	K15032
Cs4g09270	K14494
Cs4g09290	K01520
Cs4g09310	K18834
Cs4g09320	K18626
Cs4g09330	K08867
Cs4g09340	K04733
Cs4g09350	K14411
Cs4g09360	K14319
Cs4g09370	K00895
Cs4g09380	K10400
Cs4g09390	K17790
Cs4g09410	K06966
Cs4g09420	K02995
Cs4g09430	K03714
Cs4g09440	K06911
Cs4g09450	K21596
Cs4g09460	K01126
Cs4g09470	K14724
Cs4g09480	K02605
Cs4g09490	K17275
Cs4g09540	K03163
Cs4g09555	K02153
Cs4g09560	K03131
Cs4g09570	K03131
Cs4g09580	K08503
Cs4g09590	K15423
Cs4g09600	K05399
Cs4g09620	K18848
Cs4g09640	K12199
Cs4g09650	K08592
Cs4g09670	K16732
Cs4g09680	K10578
Cs4g09690	K03687
Cs4g09700	K03687
Cs4g09710	K22139
Cs4g09720	K10691
Cs4g09730	K10691
Cs4g09750	K12483
Cs4g09770	K09286
Cs4g09780	K19891
Cs4g09790	K01179
Cs4g09800	K02907
Cs4g09820	K11996
Cs4g09850	K11996
Cs4g09870	K14190
Cs4g09880	K10278
Cs4g09890	K06676
Cs4g09900	K06676
Cs4g09910	K18207
Cs4g09920	K18207
Cs4g09930	K11592
Cs4g09940	K12606
Cs4g09950	K00700
Cs4g09960	K06997
Cs4g09980	K01728
Cs4g10010	K06236
Cs4g10020	K01892
Cs4g10030	K08245
Cs4g10040	K20716
Cs4g10050	K14009
Cs4g10060	K08498
Cs4g10090	K01663
Cs4g10100	K00658
Cs4g10120	K18270
Cs4g10130	K08741
Cs4g10140	K00679
Cs4g10150	K05907
Cs4g10160	K09833
Cs4g10170	K00912
Cs4g10180	K22184
Cs4g10190	K10406
Cs4g10200	K09422
Cs4g10210	K08341
Cs4g10230	K20855
Cs4g10240	K13789
Cs4g10250	K20855
Cs4g10260	K02115
Cs4g10270	K18160
Cs4g10280	K01681
Cs4g10300	K16587
Cs4g10310	K03113
Cs4g10320	K13412
Cs4g10330	K13412
Cs4g10340	K15503
Cs4g10350	K15503
Cs4g10370	K13412
Cs4g10390	K15503
Cs4g10400	K13412
Cs4g10410	K15503
Cs4g10420	K13412
Cs4g10430	K13412
Cs4g10440	K13412
Cs4g10450	K13412
Cs4g10460	K13412
Cs4g10470	K13412
Cs4g10480	K15502
Cs4g10490	K13412
Cs4g10500	K15503
Cs4g10510	K13412
Cs4g10520	K13412
Cs4g10530	K13412
Cs4g10540	K03234
Cs4g10550	K00430
Cs4g10560	K13412
Cs4g10570	K13412
Cs4g10580	K13412
Cs4g10590	K13412
Cs4g10600	K19041
Cs4g10610	K09022
Cs4g10620	K13719
Cs4g10630	K13466
Cs4g10640	K13420
Cs4g10650	K12448
Cs4g10700	K12188
Cs4g10710	K20417
Cs4g10720	K08472
Cs4g10730	K07437
Cs4g10750	K09260
Cs4g10760	K09260
Cs4g10780	K07179
Cs4g10800	K14407
Cs4g10810	K13459
Cs4g10815	K13457
Cs4g10820	K13457
Cs4g10830	K13457
Cs4g10840	K19043
Cs4g10850	K13457
Cs4g10860	K13459
Cs4g10870	K14861
Cs4g10880	K03231
Cs4g10890	K03515
Cs4g10900	K13459
Cs4g10910	K14861
Cs4g10920	K03231
Cs4g10940	K14776
Cs4g10970	K13509
Cs4g10980	K09489
Cs4g11000	K13466
Cs4g11020	K00857
Cs4g11030	K13719
Cs4g11040	K13466
Cs4g11050	K13719
Cs4g11070	K10956
Cs4g11090	K03146
Cs4g11100	K03113
Cs4g11120	K04733
Cs4g11150	K08770
Cs4g11160	K08770
Cs4g11170	K20302
Cs4g11180	K04125
Cs4g11190	K08770
Cs4g11200	K08770
Cs4g11210	K04125
Cs4g11230	K05658
Cs4g11240	K03515
Cs4g11250	K09287
Cs4g11260	K11462
Cs4g11280	K04733
Cs4g11300	K13459
Cs4g11310	K22064
Cs4g11320	K22064
Cs4g11330	K22064
Cs4g11340	K13412
Cs4g11350	K04733
Cs4g11360	K04733
Cs4g11370	K04733
Cs4g11380	K04733
Cs4g11400	K08592
Cs4g11410	K04733
Cs4g11440	K04733
Cs4g11450	K04733
Cs4g11470	K04733
Cs4g11490	K04733
Cs4g11500	K04733
Cs4g11510	K10406
Cs4g11520	K04733
Cs4g11530	K04733
Cs4g11540	K14300
Cs4g11550	K16196
Cs4g11560	K04733
Cs4g11570	K00604
Cs4g11580	K14175
Cs4g11590	K00604
Cs4g11600	K04733
Cs4g11610	K04733
Cs4g11620	K04733
Cs4g11630	K04733
Cs4g11660	K04733
Cs4g11670	K04733
Cs4g11680	K19613
Cs4g11690	K10840
Cs4g11700	K04733
Cs4g11730	K04733
Cs4g11750	K04733
Cs4g11760	K04733
Cs4g11770	K18195
Cs4g11780	K04733
Cs4g11790	K04733
Cs4g11800	K04733
Cs4g11810	K04730
Cs4g11820	K04733
Cs4g11830	K04733
Cs4g11840	K00604
Cs4g11850	K04733
Cs4g11860	K03809
Cs4g11880	K12816
Cs4g11890	K14487
Cs4g11900	K05350
Cs4g11910	K09699
Cs4g11930	K08770
Cs4g11940	K08592
Cs4g11950	K05666
Cs4g11960	K00565
Cs4g11970	K01188
Cs4g11980	K15803
Cs4g12000	K01188
Cs4g12010	K10406
Cs4g12030	K08202
Cs4g12040	K18195
Cs4g12045	K08592
Cs4g12050	K15803
Cs4g12060	K15803
Cs4g12080	K15803
Cs4g12090	K15803
Cs4g12110	K15803
Cs4g12120	K15803
Cs4g12130	K14494
Cs4g12150	K04733
Cs4g12160	K02895
Cs4g12170	K08695
Cs4g12200	K11251
Cs4g12220	K22064
Cs4g12250	K05740
Cs4g12260	K13993
Cs4g12270	K10405
Cs4g12280	K08901
Cs4g12290	K03671
Cs4g12300	K03521
Cs4g12320	K20867
Cs4g12330	K15803
Cs4g12340	K15803
Cs4g12345	K07195
Cs4g12350	K15803
Cs4g12360	K02992
Cs4g12370	K17943
Cs4g12400	K15803
Cs4g12420	K01188
Cs4g12430	K11294
Cs4g12440	K15803
Cs4g12450	K15803
Cs4g12460	K22064
Cs4g12470	K22064
Cs4g12480	K22064
Cs4g12490	K22064
Cs4g12500	K03094
Cs4g12510	K15631
Cs4g12520	K15631
Cs4g12530	K06892
Cs4g12540	K06892
Cs4g12560	K11649
Cs4g12570	K21994
Cs4g12580	K01873
Cs4g12610	K12735
Cs4g12620	K06630
Cs4g12640	K15188
Cs4g12645	K15188
Cs4g12650	K21991
Cs4g12660	K00818
Cs4g12710	K04733
Cs4g12720	K14488
Cs4g12730	K17943
Cs4g12740	K14834
Cs4g12760	K09422
Cs4g12780	K20403
Cs4g12800	K06180
Cs4g12810	K02726
Cs4g12820	K14777
Cs4g12830	K15032
Cs4g12840	K01011
Cs4g12850	K02886
Cs4g12870	K04368
Cs4g12880	K01303
Cs4g12890	K17943
Cs4g12900	K04733
Cs4g12920	K04733
Cs4g12930	K12162
Cs4g12950	K19891
Cs4g12960	K19891
Cs4g12970	K05759
Cs4g12980	K13989
Cs4g13000	K20728
Cs4g13010	K00924
Cs4g13020	K14165
Cs4g13040	K20599
Cs4g13050	K01412
Cs4g13060	K16911
Cs4g13070	K00850
Cs4g13080	K12403
Cs4g13090	K18592
Cs4g13100	K18592
Cs4g13110	K17604
Cs4g13120	K00469
Cs4g13140	K00469
Cs4g13150	K01188
Cs4g13160	K07560
Cs4g13170	K09422
Cs4g13200	K02925
Cs4g13210	K00658
Cs4g13220	K12194
Cs4g13230	K14664
Cs4g13240	K02983
Cs4g13250	K01893
Cs4g13270	K02910
Cs4g13280	K06185
Cs4g13300	K02903
Cs4g13310	K13264
Cs4g13330	K10406
Cs4g13340	K11593
Cs4g13350	K13264
Cs4g13360	K09494
Cs4g13370	K11303
Cs4g13380	K11303
Cs4g13390	K03515
Cs4g13400	K20299
Cs4g13410	K02957
Cs4g13413	K11593
Cs4g13416	K11593
Cs4g13420	K00809
Cs4g13430	K00588
Cs4g13440	K00588
Cs4g13450	K19476
Cs4g13460	K01047
Cs4g13470	K02140
Cs4g13490	K01762
Cs4g13510	K14213
Cs4g13520	K11434
Cs4g13530	K15271
Cs4g13560	K17710
Cs4g13570	K18266
Cs4g13590	K13248
Cs4g13600	K15084
Cs4g13610	K17710
Cs4g13620	K00640
Cs4g13630	K00640
Cs4g13670	K04733
Cs4g13680	K00677
Cs4g13690	K08869
Cs4g13780	K07408
Cs4g13790	K16743
Cs4g13820	K10406
Cs4g13830	K12162
Cs4g13870	K05933
Cs4g13880	K10892
Cs4g13890	K17294
Cs4g13910	K20359
Cs4g13920	K20359
Cs4g13930	K03671
Cs4g13940	K01513
Cs4g13950	K01426
Cs4g13960	K11423
Cs4g13970	K02218
Cs4g13980	K01719
Cs4g13990	K11423
Cs4g14000	K02218
Cs4g14010	K17710
Cs4g14030	K00326
Cs4g14040	K14848
Cs4g14070	K07870
Cs4g14080	K21630
Cs4g14090	K12309
Cs4g14100	K12309
Cs4g14110	K03006
Cs4g14120	K06063
Cs4g14130	K20556
Cs4g14140	K20556
Cs4g14150	K12259
Cs4g14170	K08592
Cs4g14180	K10752
Cs4g14210	K04733
Cs4g14240	K01537
Cs4g14260	K13457
Cs4g14280	K07437
Cs4g14320	K00279
Cs4g14340	K22048
Cs4g14360	K06966
Cs4g14370	K00279
Cs4g14380	K00279
Cs4g14390	K00279
Cs4g14400	K01303
Cs4g14410	K00279
Cs4g14420	K00279
Cs4g14430	K18195
Cs4g14440	K03094
Cs4g14450	K00279
Cs4g14460	K08176
Cs4g14480	K01148
Cs4g14490	K04125
Cs4g14500	K06889
Cs4g14520	K03553
Cs4g14530	K11279
Cs4g14560	K03787
Cs4g14570	K00430
Cs4g14580	K15777
Cs4g14590	K09419
Cs4g14600	K14508
Cs4g14650	K13116
Cs4g14660	K17943
Cs4g14680	K02218
Cs4g14700	K11155
Cs4g14710	K13457
Cs4g14730	K06966
Cs4g14740	K13116
Cs4g14750	K12349
Cs4g14760	K13175
Cs4g14770	K13175
Cs4g14780	K13899
Cs4g14800	K06966
Cs4g14810	K09422
Cs4g14820	K09422
Cs4g14830	K01303
Cs4g14840	K06966
Cs4g14850	K06444
Cs4g14860	K03515
Cs4g14870	K04733
